행정구역,2023년07월_총인구수,2023년07월_세대수,2023년07월_세대당 인구,2023년07월_남자 인구수,2023년07월_여자 인구수,2023년07월_남여 비율
충청남도 천안시 동남구 목천읍(4413125000),"23,542","11,404",2.06,"12,072","11,470",1.05
충청남도 천안시 동남구 풍세면(4413131000),"3,981","2,161",1.84,"2,184","1,797",1.22
충청남도 천안시 동남구 광덕면(4413132000),"4,173","2,324",1.8,"2,119","2,054",1.03
충청남도 천안시 동남구 북면(4413133000),"4,317","2,505",1.72,"2,265","2,052",1.1
충청남도 천안시 동남구 성남면(4413134000),"2,999","1,603",1.87,"1,555","1,444",1.08
충청남도 천안시 동남구 수신면(4413135000),"2,207","1,306",1.69,"1,220",987,1.24
충청남도 천안시 동남구 병천면(4413136000),"6,244","3,683",1.7,"3,385","2,859",1.18
충청남도 천안시 동남구 동면(4413137000),"1,995","1,151",1.73,"1,082",913,1.19
충청남도 천안시 동남구 중앙동(4413151000),"5,202","3,139",1.66,"2,726","2,476",1.1
충청남도 천안시 동남구 문성동(4413152000),"7,885","3,881",2.03,"3,985","3,900",1.02
충청남도 천안시 동남구 원성1동(4413153000),"8,245","4,152",1.99,"4,297","3,948",1.09
충청남도 천안시 동남구 원성2동(4413154000),"9,126","4,920",1.85,"4,678","4,448",1.05
충청남도 천안시 동남구 봉명동(4413155000),"17,365","9,140",1.9,"8,901","8,464",1.05
충청남도 천안시 동남구 일봉동(4413156000),"22,306","8,623",2.59,"11,082","11,224",0.99
충청남도 천안시 동남구 신방동(4413157000),"43,723","19,055",2.29,"22,455","21,268",1.06
충청남도 천안시 동남구 청룡동(4413158000),"58,017","23,248",2.5,"28,890","29,127",0.99
충청남도 천안시 동남구 신안동(4413159000),"36,575","19,150",1.91,"17,756","18,819",0.94
충청남도 천안시 서북구 성환읍(4413325000),"23,146","11,336",2.04,"12,095","11,051",1.09
충청남도 천안시 서북구 성거읍(4413325300),"20,542","9,614",2.14,"10,892","9,650",1.13
충청남도 천안시 서북구 직산읍(4413325600),"19,670","9,816",2,"10,738","8,932",1.2
충청남도 천안시 서북구 입장면(4413331000),"8,208","4,446",1.85,"4,460","3,748",1.19
충청남도 천안시 서북구 성정1동(4413351000),"17,468","9,779",1.79,"9,231","8,237",1.12
충청남도 천안시 서북구 성정2동(4413352000),"25,748","18,047",1.43,"14,163","11,585",1.22
충청남도 천안시 서북구 쌍용1동(4413353000),"13,284","6,320",2.1,"6,550","6,734",0.97
충청남도 천안시 서북구 쌍용2동(4413354000),"35,913","14,810",2.42,"17,662","18,251",0.97
충청남도 천안시 서북구 쌍용3동(4413355000),"18,031","8,150",2.21,"8,721","9,310",0.94
충청남도 천안시 서북구 백석동(4413356000),"39,417","14,572",2.7,"19,846","19,571",1.01
충청남도 천안시 서북구 불당1동(4413356600),"32,330","13,086",2.47,"16,151","16,179",1
충청남도 천안시 서북구 불당2동(4413356700),"36,997","13,731",2.69,"18,513","18,484",1
충청남도 천안시 서북구 부성1동(4413358000),"50,145","25,401",1.97,"25,897","24,248",1.07
충청남도 천안시 서북구 부성2동(4413359000),"59,893","26,127",2.29,"31,852","28,041",1.14
